vuln_id,affected_package,ecosystem,severity,fix_commits_found,functions_mined,num_functions_mined,functions_capped,source_repo
GHSA-hxhm-96pp-2m43,angular-expressions,npm,high,1,addInterceptor;angularInit;arrayRemove;assertArgFn;assertNotHasOwnProperty;baseExtend;bootstrap;bootstrapApply;compile;constantWatch;constantWatchDelegate;copy;copyElement;copyRecurse;copyType;csp;doBootstrap;encodeUriSegment;escapeForRegexp;expressionInputDirtyCheck;expressionInputWatch;expressionInputsWatch;forEach;function;getBlockNodes;getFilter;getValueOf;getter;hasCustomToString;identity;inherit;inputsWatchDelegate;isAllDefined;isArrayLike;isBlankObject;isDefined;isElement;isFunction;isNumber;isNumberNaN;isRegExp;isString;isUndefined;lowercase;minErr;noUnsafeEval;oneTimeListener;oneTimeLiteralWatchDelegate;oneTimeWatch;oneTimeWatchDelegate;parseKeyValue;reloadWithDebugInfo;reverseParams;sliceArgs;startingTag;toDebugString;toJson;toJsonReplacer;toKeyValue;uppercase;valueFn,61,True,peerigon/angular-expressions
GHSA-92vm-wfm5-mxvv,cookie-signature,npm,medium,3,sha1;unsign,2,False,tj/node-cookie-signature
GHSA-h47j-hc6x-h3qq,mongo-express,npm,critical,3,DBRef;Timestamp;getSandbox;hexToObjectId;parseObjectId;quote;routes;str;stringify;toObjectId;toSafeBSON,11,False,mongo-express/mongo-express
GHSA-w457-6q6x-cgp9,handlebars,npm,critical,3,_actualLookup;registerDefaultHelpers,2,False,wycats/handlebars.js
GHSA-hm6q-r2jc-cpqh,lodahs,npm,high,0,,0,False,
GHSA-4328-8hgf-7wjr,npm,npm,high,0,,0,False,
GHSA-x8qc-rrcw-4r46,npm,npm,high,0,,0,False,
GHSA-m6cx-g6qm-p2cx,npm,npm,high,0,,0,False,
GHSA-v63x-xc9j-hhvq,safer-eval,npm,critical,0,,0,False,
GHSA-3fjq-93xj-3f3f,serialize-to-js,npm,low,1,serialize,1,False,commenthol/serialize-to-js
GHSA-h9rv-jmmf-4pgx,serialize-javascript,npm,medium,0,,0,False,
GHSA-rh46-3fgc-mvrf,jpv,npm,medium,0,,0,False,
GHSA-6xc2-mj39-q599,strapi,npm,critical,1,,0,False,strapi/strapi
GHSA-4x6v-rwh4-55jw,pomelo,npm,medium,0,,0,False,
GHSA-6rjc-4pwr-3vp7,iobroker.web,npm,medium,0,,0,False,
GHSA-cmch-296j-wfvw,iobroker.js-controller,npm,high,1,sanitizePath,1,False,ioBroker/ioBroker.js-controller
GHSA-5pm8-492c-92p5,chartkick,npm,high,1,,0,False,ankane/chartkick.js
GHSA-m52x-29pq-w3vv,pannellum,npm,medium,1,createHotSpot;escapeHTML;processOptions;sanitizeURL,4,False,mpetroff/pannellum
GHSA-9xr8-8hmc-389f,vant,npm,high,1,genOptions,1,False,youzan/vant
GHSA-89mq-4x47-5v83,angular,npm,high,2,baseExtend,1,False,angular/angular.js
GHSA-425c-ccf3-3jrr,slpjs,npm,critical,1,buildRawBchOnlyTx;buildRawBurnTx;buildRawGenesisTx;buildRawMintTx;buildRawNFT1GenesisTx;buildRawSendTx;calculateGenesisCost;calculateMintCost;calculateMintOrGenesisCost;calculateSendCost;getScriptOperations;parseOpReturnToChunks,12,False,simpleledger/slpjs
GHSA-wmx6-vxcf-c3gr,slp-validate,npm,critical,1,,0,False,simpleledger/slp-validate
GHSA-4j6x-w426-6rc6,@cubejs-backend/api-gateway,npm,high,0,,0,False,
GHSA-2598-2f59-rmhq,sequelize,npm,critical,1,,0,False,sequelize/sequelize
GHSA-j9xp-92vc-559j,sequelize,npm,critical,2,,0,False,sequelize/sequelize
GHSA-m9jw-237r-gvfv,sequelize,npm,critical,3,handleSequelizeMethod,1,False,sequelize/sequelize
GHSA-xg59-m7wx-853q,node-red-dashboard,npm,medium,0,,0,False,
GHSA-8687-vv9j-hgph,mongoose,npm,critical,2,,0,False,Automattic/mongoose
GHSA-7cg8-pq9v-x98q,realms-shim,npm,critical,0,,0,False,
GHSA-r3x4-wr4h-pw33,safer-eval,npm,critical,0,,0,False,
GHSA-58v4-qwx5-7f59,knex,npm,critical,0,,0,False,
GHSA-v7x3-7hw7-pcjg,renovate,npm,medium,0,,0,False,
GHSA-hgch-jjmr-gp7w,safer-eval,npm,critical,1,,0,False,commenthol/safer-eval
GHSA-582f-p4pg-xc74,csv-parse,npm,high,1,__isInt;function,2,False,adaltas/node-csv-parse
GHSA-c427-hjc3-wrfw,swagger-ui,npm,critical,1,,0,False,swagger-api/swagger-ui
GHSA-x4w5-r546-x9qh,html-pdf,npm,high,1,PDF,1,False,marcbachmann/node-html-pdf
GHSA-mgv2-57vj-99xc,eye.js,npm,low,0,,0,False,
GHSA-6jg8-7333-554w,realms-shim,npm,critical,0,,0,False,
GHSA-v6cj-r88p-92rm,centra,npm,high,0,,0,False,
GHSA-6m4r-cgm3-6q7q,status-board,npm,medium,2,,0,False,jameswlane/status-board
GHSA-8864-rhmw-5m6f,status-board,npm,medium,2,,0,False,jameswlane/status-board
GHSA-mc84-xr9p-938r,generator-jhipster,npm,high,0,,0,False,
GHSA-p6mr-pxg4-68hx,bower,npm,high,1,extractGz;isSymlink,2,False,bower/bower
GHSA-549f-73hh-mj38,gitlabhook,npm,critical,0,,0,False,
GHSA-mwp6-j9wf-968c,generator-jhipster,npm,critical,0,,0,False,
GHSA-9mrq-cjgh-32g2,smartbanner.js,npm,low,1,,0,False,ain/smartbanner.js
GHSA-2xwv-3cc9-fp7c,seneca,npm,low,0,,0,False,
