vuln_id,affected_package,ecosystem,severity,fix_commits_found,functions_mined,num_functions_mined,functions_capped,source_repo
GHSA-gv85-wgxc-vc56,web2py,pypi,critical,1,failed_login_count;index;login_record;write_hosts_deny,4,False,web2py/web2py
GHSA-jr83-vr4j-mp6p,web2py,pypi,medium,1,get_callable_argspec;secure_loads,2,False,web2py/web2py
GHSA-q2rq-qgcf-m22w,web2py,pypi,critical,1,__init__,1,False,web2py/web2py
GHSA-89c9-3758-737w,keycloak-httpd-client-install,pypi,high,1,DeprecatedPasswordAction;__call__;__init__;arg_type_mellon_protected_location;do_client_test;main,6,False,jdennis/keycloak-httpd-client-install
GHSA-vqf9-v3hc-wr54,keycloak-httpd-client-install,pypi,medium,1,main,1,False,jdennis/keycloak-httpd-client-install
GHSA-8787-63px-3m23,cobbler,pypi,critical,2,modify_file,1,False,cobbler/cobbler
GHSA-g4rw-82hq-8jpr,MapProxy,pypi,medium,2,authorized_demo;escape,2,False,mapproxy/mapproxy
GHSA-wwwh-47wp-m522,ansible,pypi,high,2,__init__;_buffered_exec_command;_copy_file;_generate_cmd;_normalize_path;connect;exec_command;list_zones,8,False,ansible/ansible
GHSA-3g56-2hh3-35ph,sosreport,pypi,high,0,,0,False,
GHSA-jrcv-3c5h-rh3q,sickrage,pypi,critical,1,__init__;async_call;editShow;get;hide;redirect;saveAnime;saveGeneral;saveNotifications;saveProviders;saveSearch;saveSubtitles;testFreeMobile;testGrowl;testKODI;testLibnotify;testPHT;testSABnzbd;testTelegram;unhide,20,True,SickRage/SickRage
GHSA-vm3q-58wm-2r2x,pg-query,pypi,high,0,,0,False,
GHSA-hwrm-63v2-42g4,ansible,pypi,high,7,ssh_key_gen,1,False,ansible/ansible
GHSA-fmvh-rvq5-hhjx,matrix-synapse,pypi,high,4,PduToCheckSig;__init__;_check_sigs_and_hashes;_check_sigs_on_pdus;_flatten_deferred_list;_handle_incoming_transaction;_is_invite_via_3pid;callback;errback;have_responded;on_PUT;on_backfill_request;on_incoming_transaction;process_pdus_for_room;set_response,15,False,matrix-org/synapse
GHSA-3x58-8qmv-wqw5,aubio,pypi,high,1,,0,False,aubio/aubio
GHSA-4fpg-j5mp-783g,cloudtoken,pypi,low,0,,0,False,
GHSA-ch5v-fhg8-7gv9,matrix-synapse,pypi,high,0,,0,False,
GHSA-v8wm-g9f2-xjv4,matrix-synapse,pypi,high,2,on_get_missing_events,1,False,matrix-org/synapse
GHSA-574p-6fw4-4hw8,pulpcore,pypi,medium,0,,0,False,
GHSA-g3cc-pvjj-9xq9,osxcollector,pypi,high,1,CFArray_count;CFArray_objectAtIndex;CFDictionary_objectForKey;CFTypeWrapper;CheckSignatureError;CodeSignChecker;CodeSignCheckerError;MissingDLLError;NSString_from_str;SecCertificateCopyCommonName;SecCodeCopySigningInformation;SecStaticCodeCheckValidityWithErrors;SecStaticCodeCreateWithPath;SystemCallError;__del__;__init__;__str__;_decode_error_description;_get_file_info;_load_framework;_load_library;get_signature_chain;main;str_from_NSString,24,True,Yelp/osxcollector
GHSA-f88q-22g8-frcg,cobbler,pypi,critical,0,,0,False,
GHSA-g283-88v5-rmq2,salt,pypi,critical,0,,0,False,
GHSA-6xc7-4cx8-j3xc,nova-lxd,pypi,high,1,create_network,1,False,openstack/nova-lxd
GHSA-8r7r-x48r-pf8f,salt,pypi,high,0,,0,False,
GHSA-2cf3-g243-hhfx,mysql-connector-python,pypi,low,0,,0,False,
GHSA-ffmh-r67w-m88f,nova,pypi,high,3,_attach_encryptor;_connect_volume;_create_domain_and_network;_create_domain_cleanup_lxc;_create_domain_setup_lxc;_detach_encryptor;_disconnect_volume;_get_ephemeral_devices;_get_guest_config;_get_guest_fs_config;_get_guest_storage_config;_get_volume_driver;_get_volume_encryption;_get_volume_encryptor;_lxc_disk_handler;_swap_volume;attach_volume;cleanup;detach_volume;get_info;get_volume_id;is_block_device_mapping;migrate_disk_and_power_off;post_live_migration;pre_live_migration;swap_volume,26,True,openstack/nova
GHSA-vq76-rxx3-4r4r,nova,pypi,high,2,_claim_resources,1,False,openstack/nova
GHSA-vg8g-jpm9-jh8r,pyanyapi,pypi,critical,1,YAMLInterface,1,False,Stranger6667/pyanyapi
GHSA-cwwh-4382-6fwr,dulwich,pypi,critical,1,StrangeHostname;__init__;run_command,3,False,jelmer/dulwich
GHSA-w2wf-cgwh-vpqg,nova,pypi,medium,4,_reset_image_metadata;rebuild_instance,2,False,openstack/nova
GHSA-8q8v-28rm-qw4w,borgbackup,pypi,high,1,get_args;test_get_args,2,False,borgbackup/borg
GHSA-jjxg-hpm7-g95f,bzr,pypi,high,0,,0,False,
GHSA-frgw-fgh6-9g52,numpy,pypi,high,0,,0,False,
GHSA-86cv-9gpx-6hwj,aodh,pypi,high,2,__init__;_record_delete;_scrub_action_url;_set_ownership;as_dict;from_db_model_scrubbed;get_all;put,8,False,openstack/aodh
GHSA-w8gx-hhcx-px6w,tripleo-heat-templates,pypi,medium,0,,0,False,
GHSA-x7c8-4x3h-874w,supervisor,pypi,high,0,,0,False,
GHSA-r9jw-mwhq-wp62,pyjwt,pypi,high,1,encode;prepare_key,2,False,jpadilla/pyjwt
GHSA-qc57-h2f7-p4hx,Plone,pypi,high,0,,0,False,
GHSA-3qmg-c9vc-r47j,mercurial,pypi,critical,0,,0,False,
GHSA-7cwg-2575-3546,trytond,pypi,medium,2,secure_join,1,False,tryton/trytond
GHSA-4vc9-4xpq-77vm,cobbler,pypi,medium,0,,0,False,
GHSA-vwp5-w4rq-g4cc,koji,pypi,high,0,,0,False,
GHSA-h896-6hcp-gj6c,bodhi,pypi,medium,1,bug_link;get_requirements,2,False,fedora-infra/bodhi
GHSA-8q95-jj7p-x93x,neutron,pypi,medium,0,,0,False,
GHSA-fqw7-c6vr-q29m,mistral,pypi,high,2,run,1,False,openstack/mistral
GHSA-66gw-5xpf-gfp5,ipython,pypi,medium,2,APIHandler;APIVersionHandler;ApiVersionHandler;CSPReportHandler;CheckpointsHandler;ClusterActionHandler;ClusterProfileHandler;ConfigHandler;ContentsHandler;FileFindHandler;KernelActionHandler;KernelHandler;MainClusterHandler;MainKernelHandler;ModifyCheckpointsHandler;NbconvertRootHandler;SessionHandler;SessionRootHandler;TerminalHandler;TerminalRootHandler;content_security_policy;finish;get;post;validate_absolute_path;validate_model;wrapper;write_error,28,True,ipython/ipython
GHSA-gw46-8559-cggp,sosreport,pypi,medium,1,final_work,1,False,sosreport/sos
GHSA-chg9-3c3p-ch23,lemur,pypi,high,1,Certificate;Role;Vault;generate_settings;get_key;get_keys;process_bind_param;process_result_value,8,False,Netflix/lemur
GHSA-c35g-jr5f-h83p,slixmpp,pypi,medium,2,session_bind,1,False,poezio/slixmpp
GHSA-rpv4-63g3-9x23,Radicale,pypi,high,2,is_authenticated,1,False,Kozea/Radicale
GHSA-fh5c-7gmg-xmp6,Kallithea,pypi,medium,0,,0,False,
GHSA-hhx9-4vw2-x54r,RhodeCode,pypi,high,0,,0,False,
GHSA-6fgp-29mf-chhc,Kallithea,pypi,high,0,,0,False,
GHSA-vfg9-phjp-9frw,kallithea,pypi,high,0,,0,False,
GHSA-799h-qr84-pcrp,kallithea,pypi,high,0,,0,False,
GHSA-8c4w-v65p-jvcv,keystone,pypi,high,3,_add_to_revocation_list;_validate_offline;check;check_by_audit_id;list_revoked_tokens,5,False,openstack/keystone
GHSA-jwpw-ppj5-7h4w,keystone,pypi,medium,0,,0,False,
GHSA-8v8f-vc72-pmhc,keystone,pypi,medium,2,WhiteListedItemFilter;__getitem__;__init__;format_url;make_dirs,5,False,openstack/keystone
GHSA-c4p9-87h3-7vr4,keystone,pypi,medium,4,_calc_assignment_type;_get_metadata;_get_roles_for_group_and_project;dn_startswith;is_ava_value_equal;is_dn_equal;is_rdn_equal;ldap_scope;prep_case_insensitive,9,False,openstack/keystone
GHSA-274v-r947-v34r,keystone,pypi,medium,0,,0,False,
GHSA-7332-36h8-8jh8,keystone,pypi,medium,1,Conflict;LimitingReader;RequestBodySizeLimiter;RequestTooLarge;__call__;__init__;__iter__;process_request;read;register_cli_int;setup_remote_pydev_debug,11,False,openstack/keystone
GHSA-6v56-cpg6-3rpx,mercurial,pypi,critical,0,,0,False,
GHSA-4mr4-7vjv-9hm6,mercurial,pypi,critical,0,,0,False,
GHSA-3v62-ww8w-758m,mercurial,pypi,high,0,,0,False,
GHSA-9xv4-r2hf-26gh,mercurial,pypi,high,0,,0,False,
GHSA-3mjj-mr4f-qxmx,mercurial,pypi,critical,0,,0,False,
GHSA-x549-r7m8-gv63,salt,pypi,critical,0,,0,False,
GHSA-jx34-pppm-gjvr,salt,pypi,medium,0,,0,False,
GHSA-v5rq-w2xm-7g5f,mysql-connector-python,pypi,high,0,,0,False,
GHSA-4g62-mfwx-4q48,slixmpp,pypi,high,1,XEP_0223,1,False,poezio/slixmpp
GHSA-qxh9-r8xw-7v99,OpenEXR,pypi,high,1,,0,False,openexr/openexr
GHSA-8m57-j273-2qg9,OpenEXR,pypi,medium,1,,0,False,openexr/openexr
GHSA-2cvf-r9jm-4qm9,ceilometer,pypi,medium,2,load_config,1,False,openstack/ceilometer
GHSA-xp26-p53h-6h2p,lxml,pypi,medium,1,_kill_elements,1,False,lxml/lxml
GHSA-8x3m-m3x9-54fj,oauthenticator,pypi,high,1,authenticate,1,False,jupyterhub/oauthenticator
GHSA-8vwv-2v7v-jmgr,horizon,pypi,medium,2,Meta;ResourcesTable;UsersTable;get_context_data;get_link_url;get_resource_url;value,7,False,openstack/horizon
GHSA-j57p-g33w-95c5,horizon,pypi,low,3,Meta;ResourcesTable;UsersTable;get_context_data;get_link_url;get_resource_url;value,7,False,openstack/horizon
GHSA-8g68-2hcj-h8vg,horizon,pypi,low,2,AvailabilityZonesTable;HostAggregatesTable;get_zone_hosts;safe_unordered_list,4,False,openstack/horizon
GHSA-hq4r-47qc-3jhc,Django-CRM,pypi,high,0,,0,False,
GHSA-4gv5-qhvr-36vv,pip,pypi,medium,2,__init__;_get_build_prefix;virtualenv_no_global,3,False,pypa/pip
GHSA-53mr-44pp-crf4,pip,pypi,medium,2,BuildDirectory;__enter__;__exit__;__init__;__repr__;cleanup;make;run,8,False,pypa/pip
GHSA-g3p5-fjj9-h8gj,pip,pypi,high,1,BadCommand;CertificateError;NoSSLError;VerifiedHTTPSConnection;VerifiedHTTPSHandler;__call__;__init__;__str__;_copy_option_group;_dnsname_to_pat;connect;create_connection;create_main_parser;extract_credentials;find_version;get_file_content;get_opener;get_page;get_response;home_lib;https_open;log;main;make_option_group;match_hostname,25,True,pypa/pip
GHSA-pg2w-x9wp-vw92,requests,pypi,medium,2,resolve_redirects,1,False,psf/requests
GHSA-r64q-w8jr-g9qp,urllib3,pypi,medium,0,,0,False,
GHSA-3g2p-7c6p-vj8c,qpid-python,pypi,high,1,__init__;_match_dns_pattern;close;tls,4,False,apache/qpid-python
GHSA-jrqm-v8cv-53ww,matrix-synapse,pypi,high,2,HomeServerConfig;_verify_expiry;default_config;default_path;generate_config;get_user_by_access_token;invoke_all;load_or_generate_config;read_config;read_config_files;read_file,11,False,matrix-org/synapse
GHSA-4q2w-rw7m-xqw6,nnabla,pypi,critical,2,,0,False,sony/nnabla
